,title,text,url
98,Bruno Fernando will make debut in Maryland basketball opener vs. Stony Brook - The Washington Post,"[If I think he’s ready to handle more, we’ll give him more., He could also start Fernando next to junior Ivan Bender at the center spot, which might make the most sense given that senior center Michal Cekovsky is working his way back from reconstructive ankle surgery that ended his junior season prematurely., While Turgeon said Thursday he hasn’t decided who will start in the first college basketball game at newly renovated Nassau Coliseum, it’s safe to assume his three standout sophomores — Anthony Cowan Jr., Kevin Huerter and Justin Jackson — will be on the floor for the opening tip Friday night., Maryland Coach Mark Turgeon may have been ready to declare freshman Bruno Fernando his starting power forward in October, but that changed after the highly touted Angolan suffered a left ankle sprain that kept him out of practice for nearly two weeks., Turgeon could opt to use a three-guard lineup and move Jackson to the stretch-four spot.]",https://www.washingtonpost.com/news/terrapins-insider/wp/2017/11/09/bruno-fernando-will-make-debut-in-maryland-basketball-opener-vs-stony-brook/
99,Maryland and Michigan football have had issues at quarterback in common - The Washington Post,"[”   , It’s nothing we haven’t been through before., “, “, According to ESPN’s Football Power Index, which measures a team’s true strength on a net points scale, Maryland has less than a 22 percent chance to win any of those three games; it would need to win two of those contests to clinch bowl eligibility for a second consecutive season.]",https://www.washingtonpost.com/news/terrapins-insider/wp/2017/11/07/maryland-and-michigan-football-have-had-issues-at-quarterback-in-common/
100,Freshman Darryl Morsell provides a spark in Maryland’s exhibition win over Randolph-Macon - The Washington Post,"[Morsell is not only the primary backup to sophomore point guard Anthony Cowan Jr., but he also is one of the team’s best perimeter defenders and he gives Maryland an important option in the backcourt with redshirt junior Dion Wiley working his way back from a minor ankle injury, which kept him out of Thursday night’s game., There were promising signs on Thursday., Maryland basketball officially begins the post-Melo Trimble era with next Friday night’s season opener against Stony Brook at Nassau Coliseum, but the public got its first glimpse of these Terrapins Thursday night in an 88-44 exhibition win over Division III Randolph-Macon at Xfinity Center., Huerter (11 points, seven rebounds) came off screens at shooting guard and hit three three-pointers, but was also aggressive in the lane — an emphasis a year after getting to the line only 28 times., ”]",https://www.washingtonpost.com/news/terrapins-insider/wp/2017/11/03/freshman-darryl-morsell-provides-a-spark-in-marylands-exhibition-win-over-randolph-macon/
101,Anthony Cowan Jr. and Maryland get ready for life after Melo Trimble - The Washington Post,"[In a league stacked with talented guards, Cowan made his mark more as a rookie was on the defensive end., Most of my questions today are about Melo,” Turgeon said at one point., I thought he was a pretty good defender as a freshman last year., Just what he did at Maryland, that’s something that I hopefully can do also,” Cowan said., — ]",https://www.washingtonpost.com/news/terrapins-insider/wp/2017/10/19/anthony-cowan-jr-and-maryland-get-ready-for-life-after-melo-trimble/
102,Marshawn Lynch's mom Delisa fires back at Trump on twitter - The Washington Post,"[Except in her case, that person was the president, and her son, no playground runt but 31-year-old NFL running back Marshawn Lynch, who Trump had lambasted in a tweet on Monday for not standing during the national anthem during a recent game in Mexico., And you’re not invited.]   , Lynch appeared to be referring to Trump’s long and stormy relationship with the NFL., yeah they wouldn’t let him have one!, Oh]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/the-president-attacked-her-son-so-marshawn-lynchs-mother-fired-back/
103,"Bol Bol, son of the late Manute Bol, commits to Oregon over Kentucky - The Washington Post","[Prep in Henderson, Nev., For a kid obsessed with shoes, that was like heaven., “I know he would want me to pursue my interests outside of basketball, like music, fashion and eventually, the humanitarian work that he began in Sudan., “I know my dad would want me to represent my family well,” he wrote., I would like To thank everyone who recruited me.]",https://www.washingtonpost.com/news/dc-sports-bog/wp/2017/11/20/bol-bol-son-of-the-late-manute-bol-commits-to-oregon-over-kentucky/
104,Nationals General Manager Mike Rizzo won’t campaign for a contract extension - The Washington Post,"[But the soon-to-be free agent with the most potential to change the course of the team’s future is probably President of Baseball Operations and General Manager Mike Rizzo, whose contract will expire next Oct. 31 if Nationals ownership does not extend it before then., Still, more than once, ownership has appeared to undermine Rizzo’s intentions., “, —, Whether Rizzo might have other suitors — or reciprocal interest — will depend on what other GM jobs are open.]",https://www.washingtonpost.com/news/nationals-journal/wp/2017/11/20/nationals-general-manager-mike-rizzo-not-worried-about-contract-expiring-in-2018/
105,Oklahoma’s Baker Mayfield won’t start against West Virginia after ugly sideline incident - The Washington Post,"[I am an extremely competitive person once on the field, but that does not excuse and never will excuse my actions today., (Orlin Wagner / Associated Press)  Oklahoma Coach Lincoln Riley has punished his quarterback, Heisman hopeful Baker Mayfield, in the wake of an embarrassing moment in which he cursed at Kansas players and grabbed his crotch in the Sooners’ win Saturday., Although there were a number of calls for a suspension, Riley stopped short of that, announcing instead that Mayfield would not start Saturday against West Virginia, although he will play in the game., ”, What I did was unacceptable and in turn it has taken the attention off of our team.]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/oklahomas-baker-mayfield-wont-start-against-west-virginia-after-ugly-sideline-incident/
106,What’s left for the Redskins? Only the future direction of the franchise. - The Washington Post,"[Certainly, these games have left you with a long list of this team’s nots: not consistent, not good at running the football or defending the run, not good at throwing to wide receivers, not good at home, not good at holding leads, not capable of closing halves like a sane team, not predictable, definitely not healthy., But after the collapse in New Orleans on Sunday, after a possible season-changing victory devolved into a debacle, you see a 4-6 team with vanishing playoff hopes and a question it must answer before taking the field again Thursday: What’s left to play for?, I still believe that Washington should err on the side of patience and have the guts to continue a gradual rebuild, but the team has to keep proving it is worthy of such a long wait., They stunned a few good teams, found a few innovative ways to lose, and, of course, they did what they do best, tormenting those addicted to them by extracting the heart of the fandom and playing hot potato with it.  , Okay, so if the strength of competition has created a distorted impression, then it is clear what Washington must prove over the remainder of this season.]",https://www.washingtonpost.com/sports/whats-left-for-the-redskins-only-the-future-direction-of-the-franchise/2017/11/20/c8e9e59e-ce16-11e7-9d3a-bcbe2af58c3a_story.html
107,Kirk Cousins: NFL can keep apology for intentional grounding call - The Washington Post,"[(Fox)  The NFL, according to The Washington Post’s Mark Maske, seems to believe that the last-minute intentional-grounding call that pushed the Redskins out of field goal range and led to overtime during Sunday’s loss in New Orleans was erroneously called., “, It was essentially like clocking it,” he told the station., I threw the ball and it looks like I’m throwing to nobody, but in my opinion — or before I threw the ball, my opinion was he’ll be in the general area., ”   ]",https://www.washingtonpost.com/news/dc-sports-bog/wp/2017/11/20/kirk-cousins-says-an-nfl-apology-over-intentional-grounding-really-doesnt-do-much/
108,"‘We have so many question marks’: Redskins starters ailing at safety, on both lines - The Washington Post","[(Jonathan Newton/The Washington Post)  The Washington Redskins’ injury list in the wake of Sunday’s 34-31 overtime loss in New Orleans went far beyond the broken leg suffered by multifaceted running back Chris Thompson, who will miss the rest of the season following surgery, and is straining already thin ranks on the offensive line, defensive line and at safety., “, We’ve got to get him well., ”, His role diminished as the season wore on, and he bows out with 20 catches for 240 yards and one touchdown.]",https://www.washingtonpost.com/news/football-insider/wp/2017/11/20/we-have-so-many-question-marks-redskins-starters-ailing-at-safety-on-both-lines/
109,"For the second straight week, the Redskins need a running back - The Washington Post","[The Redskins currently have 10 offensive linemen on the active roster and one on the practice squad., With a quick turnaround to face the New York Giants on Thanksgiving night, the Redskins only have rookie Samaje Perine, who made his second career start against New Orleans, and Byron Marshall, who was signed off the Philadelphia Eagles’ practice squad last week., He’s going to have to., He will., (Jonathan Newton/The Washington Post)  For the second straight week, the Washington Redskins have just two healthy running backs on their active roster the day after a game.]",https://www.washingtonpost.com/news/football-insider/wp/2017/11/20/for-the-second-straight-week-the-redskins-need-a-running-back/
110,Redskins WR Terrelle Pryor undergoes ankle surgery - The Washington Post,"[Saints come from 15 points down to deal Redskins a devastating, 34-31 defeat Best and worst moments from the Redskins’ 34-31 overtime loss to the Saints Steinberg: I seriously cannot believe the Redskins just lost that game, After catching 77 passes for 1,007 yards and four touchdowns last season in Cleveland, Pryor only has 240 receiving yards and one touchdown on 22 catches through nine games, starting in just two of those contests., He was ruled out of Sunday’s 34-31 overtime loss in New Orleans because of lingering ankle pain and was scheduled to see noted foot specialist Robert Anderson on Monday in Charlotte.   , Despite the high expectations that came with his arrival to Washington, Pryor’s first (and likely only) season with the Redskins has been a disappointment., [Cousins says an NFL apology over intentional grounding ‘really doesn’t do much’]   ]",https://www.washingtonpost.com/news/football-insider/wp/2017/11/20/terrelle-pryor-undergoes-ankle-surgery/
111,Washington Nationals release 2018 spring training schedule - The Washington Post,"[The Washington Nationals unveiled their 2018 spring training schedule Monday afternoon and, like last year when Ballpark of the Palm Beaches opened, they won’t have to travel much., The Nationals will play at Ballpark of the Palm Beaches 18 times — 15 as the home team, three as the visiting club against the Astros — and host their official home opener against the Atlanta Braves on Feb. 25., The 32-game Grapefruit League slate begins with the Feb. 23 opener against the Houston Astros, their fellow Ballpark of the Palm Beaches residents, as the road team in West Palm Beach, Fla., It concludes at Nationals Park against the Minnesota Twins two days before Washington opens the regular season in Cincinnati against the Reds. , Washington’s nine other games away from Ballpark of the Palm Beaches are against the St. Louis Cardinals and Miami Marlins, 12 miles away in Jupiter.]",https://www.washingtonpost.com/news/nationals-journal/wp/2017/11/20/washington-nationals-release-2018-spring-training-schedule/
112,Redskins still stewing over Kirk Cousins’s disputed intentional grounding penalty - The Washington Post,"[They have to prepare for back-to-back “Thursday Night Football” games against two of their biggest rivals, the New York Giants and the Dallas Cowboys.   , The Redskins — who had led by 15 points in the fourth quarter — were hoping to reclaim the lead from the Saints on their final drive and escape with the upset win., The controversy stemmed from whether the play fit the NFL’s definition of intentional grounding., ”, Less than 24 hours after his team suffered its most crippling loss of the season in gut-wrenching fashion, the Washington Redskins’ head coach still couldn’t explain one of the game’s most controversial plays.]",https://www.washingtonpost.com/sports/redskins-still-stewing-over-kirk-cousinss-disputed-intentional-grounding-penalty/2017/11/20/a9887a58-ce16-11e7-9d3a-bcbe2af58c3a_story.html
113,John Wall’s knee feels better and so do Wizards in win over Bucks - The Washington Post,"[I don’t know where it came from,” Wall said., Wall doesn’t need to be a biometeorologist to understand how weather affects health., Inside BMO Harris Bradley Center, there were no chants of “MVP, “, ” serenading Milwaukee’s breakout star Giannis Antetokounmpo —]",https://www.washingtonpost.com/news/wizards-insider/wp/2017/11/20/john-walls-knee-and-the-wizards-season-might-depend-on-a-balmy-winter/
114,"‘It’s just fun, man’: Kyrie Irving continues to justify the Celtics’ summer blockbuster - The Washington Post","[This summer, he decided he was ready to be the one casting his own shadow over his own franchise, which is why he chose to ask for a trade away from the Cavaliers in the first place., “, It’s not, Then, when the Celtics did finally make their move by trading for Irving, just as many people wondered why it wasn’t for a player like George or Butler, instead., So far, though, it’s worked out as well as both Irving and the Celtics could have hoped.]",https://www.washingtonpost.com/news/sports/wp/2017/11/21/its-just-fun-man-kyrie-irving-continues-to-justify-the-celtics-summer-blockbuster/
115,White House: Trump didn’t mean what he said about leaving UCLA players in Chinese jail - The Washington Post,"[Do you think the three UCLA Basketball Players will say thank you President Trump?, They were headed for 10 years in jail!, At a briefing Monday, White House press secretary Sarah Huckabee Sanders said President Trump was merely making a “rhetorical response to a criticism” by LaVar Ball when he tweeted of Ball’s son LiAngelo and two UCLA teammates that he “should have left them in jail” in China., The next day, Trump said “, ”]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/white-house-trump-didnt-mean-what-he-said-about-leaving-ucla-players-in-chinese-jail/
116,NTSB report details dangerous maneuvers by Roy Halladay before deadly crash - The Washington Post,"[Roy Halladay skimmed the Gulf of Mexico and flew his aircraft within 75 feet of beach-adjacent homes before his crash earlier this month, according to a preliminary report released Monday by the National Transportation Safety Board., NTSB investigators said in their report that Halladay took off from a lake near his home in Odessa, Fla., located north of Tampa, and climbed to just over 1,900 feet before descending as he neared the coastline., Halladay was the only person aboard his two-seat ICON A5, an amphibious plane with folding wings designed to serve as a recreational vehicle, when it plunged into the gulf near Tampa on Nov. 7., TMZ Sports published video of a plane reported to be Halladay’s flying very low over the gulf, and witnesses told the website that the aircraft was repeatedly making sharp ascents and descents to within a few feet of the water., The agency did not provide a specific cause of the fatal incident that occurred earlier this month, but it used data retrieved from the former pitcher’s plane to detail his 17-minute flight.]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/21/ntsb-report-details-dangerous-maneuvers-by-roy-halladay-before-deadly-crash/
117,TV and radio listings: November 21 - The Washington Post,"[» ESPN2   7 p.m. Houston Baptist at Virginia Tech » WJFK (106.7 FM)  7 p.m., Hall of Fame Classic title game: Creighton vs. Baylor or Wisconsin » ESPN2  , 7 p.m. Kent State at Akron » ESPNU   MEN’S COLLEGE BASKETBALL  , Legends Classic third-place game: Oklahoma St. vs. Penn St. or Pitt, Maui Invitational semifinals: Marquette vs. Wichita State » ESPN  3:30 p.m.]",https://www.washingtonpost.com/sports/tv-and-radio-listings-november-21/2017/11/21/b04bbefc-ce77-11e7-9d3a-bcbe2af58c3a_story.html
118,Raiders Coach Jack Del Rio's wife regrets voting for Trump - The Washington Post,"[“, Take more time being president of the United States and less time trying to shame., The wife of Raiders Coach Jack Del Rio said Monday on Twitter that she regretted voting for President Trump, shortly after he tweeted his criticism of Oakland running back Marshawn Lynch., ”, As he has done before every Raiders game this season, Lynch sat down instead of standing for the national anthem, but with Oakland playing in Mexico on Sunday, he stood for that country’s anthem.]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/wife-of-raiders-coach-says-she-regrets-voting-for-trump-after-marshawn-lynch-criticism/
119,Critical stretch early in third period costs Capitals in 4-1 loss to Flames - The Washington Post,"[“, The game turned on that sequence early in the third period, a picture of how the Flames capitalized on their opportunities and how the Capitals fell into a sort of lull after scoring the first goal., “, Mikael Backlund scored on the Flames’ power play, but not before Alex Chiasson was called for slashing to keep Calgary’s man-advantage unit on the ice for another two minutes after the goal.,  Alex Ovechkin stayed on the ice for all two minutes of the power play, firing shots from his office in the left faceoff circle as the Washington Capitals attempted to tie the game.]",https://www.washingtonpost.com/sports/critical-stretch-early-in-third-period-costs-capitals-in-4-1-loss-to-flames/2017/11/20/b8c65468-ce16-11e7-9d3a-bcbe2af58c3a_story.html
120,"Maryland Terps basketball routs Jackson State, 76-45 - The Washington Post","[Both Morsell and Huerter left the game against Bucknell with cramping issues, but Maryland has otherwise seen its health improve over the past few weeks after Fernando and junior Dion Wiley both dealt with ankle injuries in October., We have to get him back., ”  , “,  Just a few hours after Maryland guard Darryl Morsell was named the Big Ten freshman of the week Monday afternoon, the youthful joy he had shown in his first four college games was nowhere to be found Monday night against Jackson State.]",https://www.washingtonpost.com/sports/darryl-morsell-leaves-with-injury-as-terrapins-rout-jackson-state/2017/11/20/623cc104-ce1b-11e7-9d3a-bcbe2af58c3a_story.html
121,"The SEC, once again, holds the keys to the College Football Playoff race - The Washington Post","[Most important to everyone else in the country: If Alabama loses Saturday – or the following week – the SEC is more likely to claim two spots in the four-team playoff., Their first big step came with last week’s drubbing of Georgia, but two even bigger steps remain: Alabama this weekend and then, should they win, a rematch against Georgia in the SEC championship game., Cade Massey, a practice professor at the Wharton School, and Rufus Peabody, a Washington-based sports analyst, developed this ranking system for projecting future performance., We’re confident the committee wouldn’t slot a one-loss Alabama team over an undefeated Wisconsin or Miami, or one-loss Clemson, Georgia, or Oklahoma., Current season statistics are adjusted for home field, opponent and game situation, blended with preseason expectations and weighted by their predictive ability.]",https://www.washingtonpost.com/news/fancy-stats/wp/2017/11/20/the-sec-once-again-holds-the-keys-to-the-college-football-playoff-race/
122,Navy will give fans free stuffing and bibs at pre-Thanksgiving basketball doubleheader - The Washington Post,"[There’s more!, The first 500 fans will get free stuffing from Annapolis’s Main and Market, while the first 125 fans at each game will receive a free Bill’s Bib, modeled here by Navy mascot Bill.,    In this image taken on Oct. 2, 2012, there is apparently some sort of stuffing, although this isn’t the best sports photo of all time., The men play Washington College at 3 on Wednesday, followed by the women’s game against Air Force., There will be a pie-eating contest between the two games, a sprint football scrimmage on the basketball court during halftime of the men’s game, a Thanksgiving parade during halftime of the women’s game, and (canned) music by the Cranberries being featured throughout the afternoon.]",https://www.washingtonpost.com/news/dc-sports-bog/wp/2017/11/20/navy-will-give-fans-free-stuffing-and-bibs-at-pre-thanksgiving-basketball-doubleheader/
123,"Bill James, part of MLB's Moneyball revolution, criticizes WAR - The Washington Post","[In high-leverage situations   Name, a hot topic of debate among baseball analysts for some time., It is dead wrong because the creators of that statistic have severed the connection between performance statistics and wins, thus undermining their analysis., If we discount each player’s WAR by the difference between their actual and expected win totals, the AL leader board looks a lot different.    , To those studying the new era of stats, there are better alternatives]",https://www.washingtonpost.com/news/fancy-stats/wp/2017/11/20/bill-james-who-spurred-baseballs-analytics-revolution-is-waging-a-mini-war-on-war/
124,Damascus’ winning score in region final versus Walkersville came with 12 players on field - The Washington Post,"[St. John’s ranks, After the final 10 minutes and 47 seconds ticked off the game clock, the Hornets (12-0), winners of two straight 3A state titles, advanced to the state semifinals, while Walkersville (11-1) ended its season two rounds short of what the team hoped would be a repeat 2A state championship., Josh, who plays for Walkersville, had seen a video online of Damascus’ fourth-quarter touchdown — running back Gage Dickens ran for 14 yards on 3rd and goal for the deciding points in the 2A West region final — and the Hornets had 12 players on the field., “, ”]",https://www.washingtonpost.com/news/recruiting-insider/wp/2017/11/20/damascus-winning-score-in-region-final-versus-walkersville-came-with-12-players-on-field/
125,Marshawn Lynch's mom Delisa fires back at Trump on twitter - The Washington Post,"[Except in her case, that person was the president, and her son, no playground runt but 31-year-old NFL running back Marshawn Lynch, who Trump had lambasted in a tweet on Monday for not standing during the national anthem during a recent game in Mexico., And you’re not invited.]   , Lynch appeared to be referring to Trump’s long and stormy relationship with the NFL., yeah they wouldn’t let him have one!, Oh]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/the-president-attacked-her-son-so-marshawn-lynchs-mother-fired-back/?tid=pm_sports_pop
126,White House: Trump didn’t mean what he said about leaving UCLA players in Chinese jail - The Washington Post,"[Do you think the three UCLA Basketball Players will say thank you President Trump?, They were headed for 10 years in jail!, At a briefing Monday, White House press secretary Sarah Huckabee Sanders said President Trump was merely making a “rhetorical response to a criticism” by LaVar Ball when he tweeted of Ball’s son LiAngelo and two UCLA teammates that he “should have left them in jail” in China., The next day, Trump said “, ”]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/white-house-trump-didnt-mean-what-he-said-about-leaving-ucla-players-in-chinese-jail/?tid=pm_sports_pop
127,NTSB report details dangerous maneuvers by Roy Halladay before deadly crash - The Washington Post,"[Roy Halladay skimmed the Gulf of Mexico and flew his aircraft within 75 feet of beach-adjacent homes before his crash earlier this month, according to a preliminary report released Monday by the National Transportation Safety Board., NTSB investigators said in their report that Halladay took off from a lake near his home in Odessa, Fla., located north of Tampa, and climbed to just over 1,900 feet before descending as he neared the coastline., Halladay was the only person aboard his two-seat ICON A5, an amphibious plane with folding wings designed to serve as a recreational vehicle, when it plunged into the gulf near Tampa on Nov. 7., TMZ Sports published video of a plane reported to be Halladay’s flying very low over the gulf, and witnesses told the website that the aircraft was repeatedly making sharp ascents and descents to within a few feet of the water., The agency did not provide a specific cause of the fatal incident that occurred earlier this month, but it used data retrieved from the former pitcher’s plane to detail his 17-minute flight.]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/21/ntsb-report-details-dangerous-maneuvers-by-roy-halladay-before-deadly-crash/?tid=pm_sports_pop
128,What’s left for the Redskins? Only the future direction of the franchise. - The Washington Post,"[Certainly, these games have left you with a long list of this team’s nots: not consistent, not good at running the football or defending the run, not good at throwing to wide receivers, not good at home, not good at holding leads, not capable of closing halves like a sane team, not predictable, definitely not healthy., But after the collapse in New Orleans on Sunday, after a possible season-changing victory devolved into a debacle, you see a 4-6 team with vanishing playoff hopes and a question it must answer before taking the field again Thursday: What’s left to play for?, I still believe that Washington should err on the side of patience and have the guts to continue a gradual rebuild, but the team has to keep proving it is worthy of such a long wait., They stunned a few good teams, found a few innovative ways to lose, and, of course, they did what they do best, tormenting those addicted to them by extracting the heart of the fandom and playing hot potato with it.  , Okay, so if the strength of competition has created a distorted impression, then it is clear what Washington must prove over the remainder of this season.]",https://www.washingtonpost.com/sports/whats-left-for-the-redskins-only-the-future-direction-of-the-franchise/2017/11/20/c8e9e59e-ce16-11e7-9d3a-bcbe2af58c3a_story.html?tid=pm_sports_pop
129,Raiders Coach Jack Del Rio's wife regrets voting for Trump - The Washington Post,"[“, Take more time being president of the United States and less time trying to shame., The wife of Raiders Coach Jack Del Rio said Monday on Twitter that she regretted voting for President Trump, shortly after he tweeted his criticism of Oakland running back Marshawn Lynch., ”, As he has done before every Raiders game this season, Lynch sat down instead of standing for the national anthem, but with Oakland playing in Mexico on Sunday, he stood for that country’s anthem.]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/20/wife-of-raiders-coach-says-she-regrets-voting-for-trump-after-marshawn-lynch-criticism/?tid=pm_sports_pop
130,"Nationals add Kelvin Gutierrez, Jefry Rodriguez to 40-man roster ahead of Rule 5 deadline - The Washington Post","[Players who were signed at age 18 or younger and have played five seasons of professional baseball (international players or those who signed out of high school) and players who were signed at age 19 or older and have played four seasons (older college draftees, generally) are eligible for selection if they are not on a team’s 40-man roster., In placing Gutierrez and Rodriguez on the 40-man roster, the Nationals are indicating optimism for both players’ major league futures — but also leaving a few familiar names unprotected, and subject to selection by someone else., Opposing hitters were batting .228 against him, struggling against a high-90s fastball and promising secondary stuff that makes him one of the less-talked-about, more-promising pitching prospects on the Nationals’ somewhat depleted organizational pitching depth chart., On the final day of the Winter Meetings, representatives from all teams gather for the Rule 5 draft, in which they may select players off any team’s minor league rosters and pay only a fee., At the time of that suspension, the 24-year-old had just carried a no-hitter into the eighth inning and was pitching to a 3-2 record and 3.51 ERA.]",https://www.washingtonpost.com/news/nationals-journal/wp/2017/11/20/nationals-add-kelvin-gutierrez-jefry-rodriguez-to-40-man-roster-ahead-of-rule-5-deadline/
131,What We Learned in N.F.L. Week 11: Eagles are Scary Good - The New York Times,"[He completed 29 of 41 passes for 385 yards, with two fourth quarter touchdown passes, the second of which went to Alvin Kamara, which along with Kamara’s 2-point conversion erased Washington’s lead., The Patriots, who trained at altitude all week to deal with the 7,200-foot elevation of Estadio Azteca, improved to 8-2 and will host the Miami Dolphins in New England next week., The first game of the Nathan Peterman Era did not go well, as the rookie picked in the fifth round of this year’s draft threw five interceptions and was down 40-7 against the Los Angeles Chargers when he was taken out for Tyrod Taylor, the quarterback he had replaced in the starting lineup., “, With Webster out, Thielen had a mismatch against Dominique Hatfield, and was off to the races.]",https://www.nytimes.com/2017/11/19/sports/nfl-scores-week-11.html
132,Marshawn Lynch Angers Trump by Standing for Mexican Anthem - The New York Times,"[On Sunday, Trump went after LaVar Ball, the father of one of the U.C.L.A. players who were detained in China on suspicion of shoplifting., Generally though, he has avoided singling out players by name.“Two dozen NFL players continue to kneel during the national anthem, showing total disrespect to our Flag & Country., Giant flags of both nations were unfurled to the cheers of the crowd, which included a significant number of Americans., he tweeted last month., Shortly after 6, “Fox and Friends,” a program that has prompted quite a few of Trump’s tweets, had broadcast a report on Lynch’s actions.]",https://www.nytimes.com/2017/11/20/sports/marshawn-lynch-trump-anthem.html
133,Nathan Peterman? Tom Savage? Who Are All These Starting N.F.L. Quarterbacks? - The New York Times,"[He’s playing good.”All that quarterback mediocrity and all these unexpected quarterbacks of course brings up one name absent: Colin Kaepernick., Commercials featuring Peyton Manning, Aaron Rodgers and Drew Brees seem to run in a loop on Sundays, and a quick scan of the stands reveals a strong bias toward the jerseys of Tom Brady or Cam Newton., How did he do?, With Cutler dealing with cracked ribs, Moore now may get to start a few games., Now, what to do with a healthy Bridgewater?]",https://www.nytimes.com/2017/11/20/sports/football/nathan-peterman-case-keenum-brett-hundley.html
134,"Patriots Get Hearty Welcome, and Win Over Raiders, in Mexico - The New York Times","[, I would care more if they won or lost, but just that they are playing here, I cannot describe how that feels,” said Emilio Carreño, 28, a government accountant and Raiders fan., Even as New England was running away with the game, the crowd stuck with it, doing the wave so vigorously the stadium shook., ”, Yet Brady was not the only spectacle in this stadium with a long history of memorable soccer matches., Shortly before this game, the N.F.L. and its broadcast partner here and stadium landlord, Televisa, announced that three more regular-season games will be played from 2019 to 2021.The N.F.L. is striving to expand its presence internationally; it has played regular-season games in London since 2007, with four games there this year.]",https://www.nytimes.com/2017/11/19/sports/patriots-beat-raiders-mexico.html
135,Giants Salvage Win Over Chiefs. But Is It Too Late for Ben McAdoo? - The New York Times,"[And that was the territory McAdoo’s Giants inhabited as Sunday’s game began., But it will most likely take more than that., And there is a relevant precedent that serves as proof., But here was the difference: The MetLife Stadium crowd, which still filled only about half the seats, was on its feet and in full throat., That is the hope of Sunday’s result for Giants fans.]",https://www.nytimes.com/2017/11/19/sports/giants-chiefs-ben-mcadoo.html
136,Why the Yankees Are Crowdsourcing Their Manager Vetting Process - The New York Times,"[“, “, So far, each of the five people the Yankees have interviewed — the Yankees bench coach Rob Thomson, the former Cleveland Indians and Seattle Mariners manager Eric Wedge, the San Francisco Giants hitting coach Hensley Meulens, the broadcaster and former player Aaron Boone and the Dodgers third-base coach, Epstein was just 29 years old and one year into his job as general manager of Boston when he fired Red Sox Manager Grady Little in the aftermath of the heartbreaking Game 7 loss to the Yankees in the 2003 American League Championship Series., — said it could be a valuable exercise in an intense media environment.]",https://www.nytimes.com/2017/11/20/sports/baseball/yankees-manager.html
137,"Jana Novotna, Czech Winner of Wimbledon, Dies at 49 - The New York Times","[Five years later, she did., She came to me and said, ‘Mr. Kodes, don’t cry, I will win it here one day anyhow.’, The following year, Novotna beat Venus Williams in the quarterfinal and exacted some measure of revenge by defeating Hingis in the semifinals., Up by 4-1 in the final set against Steffi Graf, Novotna  lost the match, 7-6 (8-6), 1-6, 6-4.As the trophies were being presented, the Czech tennis player cried on the Duchess of Kent’s shoulder., She retired with 100 tournament titles — 76 in doubles and 24 in singles.]",https://www.nytimes.com/2017/11/20/obituaries/jana-novotna-dead.html
138,Trump Blasts LaVar Ball: ‘I Should Have Left Them in Jail!’ - The New York Times,"[Controversy is nothing new for LaVar Ball., Kelly added, “I bet they learned a lesson in their lives.”The president made it clear on Twitter that he expected the players to thank him for his involvement, claiming they faced 10 years in jail, though many legal experts weighed in to say it was unlikely the charges would have been that serious., Unaware of the episode, the Chinese president dispatched an aide to get more information., Trump’s tweets were a response to an interview with ESPN in which LaVar Ball cast doubt on how much Trump had been involved in freeing LiAngelo, a freshman at U.C.L.A, and two of his teammates after they were arrested during a team trip to China earlier this, A day after LaVar Ball, the outspoken father of the basketball players LiAngelo and Lonzo Ball, played down President Trump’s involvement in getting LiAngelo safely out of China without any criminal charges, the president fired back on Twitter.]",https://www.nytimes.com/2017/11/19/sports/lavar-ball-trump.html
139,Why People in Mississippi Have to Watch the Giants - The New York Times,"[Hey, everybody either really hates or really loves the Patriots, so let’s just put that game on everywhere.”Here is how CBS went about regionalization for Week 11.Week 11 is a doubleheader week for CBS, meaning it is showing games in both an early window (1 p.m., Eastern time) and a late window (4:25 p.m.)., Besides Manning, Carson Wentz (North Dakota State), Deshaun Watson (Clemson), Teddy Bridgewater (Louisville) and Marcus Mariota (born in Hawaii) are among the players who might influence a broadcast decision.“J.J. Watt, as unbelievable of a player he is, is not changing our map,” Correa said., (Watt, who plays for the Houston Texans, is from Wisconsin and was a standout at the University of Wisconsin.)Five cities, comprising about 9 percent of the country’s population, will not get any N.F.L. game at all on CBS at 1 p.m.: Minneapolis, Chicago, Houston, New Orleans and Miami., Each week, they prepare a preliminary schedule for three weekends out, a tentative schedule for two weekends out and a final schedule for one weekend out.“We, Individual players are usually not important enough to dictate where a broadcast goes, but there are a few exceptions — mostly quarterbacks who are from, or who attended college in, places other than major metropolitan areas.]",https://www.nytimes.com/2017/11/19/sports/football/why-people-in-mississippi-have-to-watch-the-giants.html
