,title,text,url
11,The most cutting-edge gifts for the techie in your life - The Washington Post,"[; extra shells are $9.99 each., Apple’s highest-end smartphone is kitted out with all the bells and whistles at its disposal — especially facial recognition technology that has supplanted the trusty fingerprint reader., You still won't find a headphone jack with the The iPhone X. Apple also ditched the home button in favor of new navigation gestures that may take some time to get used to., If you decide to buy the $99 pen, you'll find that it serves as a suitable note taker and sketching implement — though it’s not as sensitive as, say, the Apple Pen for the iPad., While e-readers may not top your mental list of cutting-edge gadgets, there is enough additional tech in this super-light premium device to warrant it.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/19/the-most-cutting-edge-gifts-for-the-techie-in-your-life/
12,"For $200,000, Tesla will sell you the ‘world’s fastest’ consumer car - The Washington Post","[“, The next-generation Roadster is Tesla’s first new sports car since it discontinued the original in 2012 and marks the company’s bid to remain competitive across several categories in the world of electric vehicles that it helped reshape., The company reported a net loss of $619 million, or about $2.92 per share, in its most recent earnings report, compared with a net income of $21 million and a gain of 71 cents per share during the same period last year., Ed Hellwig, a senior editor at auto research website Edmunds.com, described the Roadster as a “very unnecessary distraction” whose reintroduction was likely designed to divert attention from Tesla’s business struggles., The base model can travel from a dead stop to 60 miles per hour in less than two seconds, making it the fastest consumer car on the planet and the first to break the two-second mark, Musk said.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/17/for-200000-tesla-will-sell-you-the-worlds-fastest-consumer-car/
13,These robots don’t want your job. They want your love. - The Washington Post,"[They could also be a little unnerving., You know what I mean., His head rotates on a base that itself swivels at an off-kilter angle., (Dalton Bennett/The Washington Post)  , “]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/17/these-robots-dont-want-your-job-they-want-your-love/
14,Apple won’t launch its HomePod Siri speaker in time for the holidays - The Washington Post,"[“, the second-generation Echo, the Echo Plus and the Echo Spot,    The HomePod speaker is photographed in a showroom during an announcement of new products at the Apple Worldwide Developers Conference June 5 in San Jose., In June, some analysts questioned whether a December launch was already too late for Apple to compete with Amazon and Google for the connected home market., (Marcio Jose Sanchez/AP)  Apple said Friday that it's pushing back its plans for a Siri-powered smart speaker until sometime early next year.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/17/apple-wont-launch-its-homepod-smart-speaker-in-time-for-the-holidays/
17,DOJ antitrust chief’s speech raises questions about fate of proposed AT&T-Time Warner merger - The Washington Post,"[”   , “, While running for office last year, Donald Trump threatened to block the deal if elected, according to Reuters. , Behavioral remedies are conditions that are designed by regulators to create fairness and protect consumers after mergers, but critics say they’re often ineffective and difficult to enforce., Last week, Sen. Amy Klobuchar (D-Minn.) called on the White House to reveal any communications between Trump, his aides and the Justice Department on the deal.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/16/doj-antitrust-chiefs-speech-raises-questions-about-fate-of-proposed-att-time-warner-merger/
18,Election officials move closer to placing new rules on Facebook and Google - The Washington Post,"[While the entire commission agreed that the process leading to new rules should begin, there was disagreement over when tech companies and experts should be invited to offer detailed input. , The Federal Election Commission moved a step closer to placing tighter regulations on Internet ads published on major Web platforms, marking a significant shift for an agency beset by partisan dysfunction and another sign that regulators are seeking to thwart foreign meddling in U.S. elections., But the commission has not made explicit what is required of small online political ads, whose dimensions and display make it challenging to include a disclaimer., The rulemaking process would seek to clarify those obligations., “]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/16/election-officials-move-closer-to-placing-new-rules-on-facebook-and-google/
19,Nintendo promises more Switch and SNES Classic units on shelves for the holidays - The Washington Post,"[While Nintendo said it is going to do its best to have both consoles in stores, the flip side of that is that consumers shouldn't expect the company to offer much in the way of Black Friday deals that would seek to clear shelves., With the holidays coming, Nintendo of America President Reggie Fils-Aimé said in an interview with The Washington Post that the company is working to have a regular supply of both consoles on store shelves for the rest of the year.,    (Nintendo)  It has been a great year for Nintendo fans, with the new Switch console as well as a throwback console based on the beloved Super Nintendo Entertainment System., Fils-Aimé said Nintendo has tried to learn its lessons from last year's launch of another throwback, the NES Classic, which frustrated fans who had troubling finding the limited-edition console., The market research firm NPD Group said Thursday that the Nintendo Switch and Nintendo SNES Classic were the top-selling consoles for October.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/16/nintendo-promises-more-switch-and-snes-classic-units-on-shelves-for-the-holidays/
20,The FCC just repealed a 42-year-old rule blocking broadcast media mergers - The Washington Post,"[(Andrew Harrer/Bloomberg News)  Federal regulators rolled back decades-old rules on Thursday, making it far easier for media outlets to be bought and sold — potentially leading to more newspapers, radio stations and television broadcasters being owned by a handful of companies., It came the same day that the agency approved the deployment of Next Gen TV, a new broadcast standard that is ultimately expected to lead to improved audio and video quality on over-the-air television, as well as targeted advertising., This has a huge impact,” said Andrew Schwartzman, an expert on media law at Georgetown University., Instead of engaging in thoughtful reform,” said Democratic FCC Commissioner Jessica Rosenworcel, “, The regulations, eliminated in a 3-to-2 vote by the Federal Communications Commission, were first put in place in the 1970s to ensure that a diversity of voices and opinions could be heard on the air or in print.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/16/the-fcc-just-repealed-decades-old-rules-blocking-broadcast-media-mergers/
21,Best video game consoles and other gaming gifts for this holiday season - The Washington Post,"[” While there are some drawbacks — battery life could be longer, and the game selection is still somewhat limited — the Switch is a great option for those who don’t spend hours on the couch engrossed in a game., Microsoft is touting VR headsets made by other companies in hopes of establishing personal computers running on its Windows operating system as the best way for people to experience artificial worlds., Anyone can feel like a kid over the holidays with new gaming devices to play with — and, of course, games are more fun with more people so a gift to your gamer is really a gift to everyone., The decision of which one you should get is really up to the preference of your intended recipient; this may be one of those gifts where it’s best to ask about it first., HMD Odyssey is one of several headsets on sale for the holidays that aims to lower those barriers and get more people excited about these new technologies.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/16/video-game-gifts-for-grown-ups/
22,Richard Branson’s newest space venture just got hired by the Pentagon for a test launch - The Washington Post,"[Earlier this week, Fred Kennedy, the director of the Tactical Technology Office at the Defense Advanced Research Projects Agency, said that the military is “in dire need of new thinking and innovation,” and added that “our savior” would be the growing commercial sector., In an interview, Virgin Orbit's chief executive Dan Hart said, “we think that this is a real concrete indication of the government’s drive to use commercial space, and the agility and affordability that we can provide., His Virgin Orbit space company announced Thursday it had won its first military contract: a demonstration flight that would carry “technology demonstration satellites” for the Air Force on its LauncherOne rocket by early 2019., For years, Branson’s Virgin Galactic has been focused on flying tourists to the edge of space where they’d experience a few minutes of weightlessness and glimpse the Earth from a distance for $250,000 a ticket., A company called Vector, which was started by a couple of SpaceX alumni, also has a small launch vehicle that it says would eventually launch daily.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/16/richard-bransons-newest-space-venture-just-got-hired-by-the-pentagon-for-a-test-launch/
